Wallet address:	Manager(s):
5Dey2ZpGQxVirmRqvnfhvtUoQEbFC4CW5ZFhbBrAQEmtCpMo	🐤 bird
5ELpMTouaeVE6aPGe6syvPxwiEnheGTK2FTZvRNU9d5n6B2W	🐤 bird
5GeXb1VtEU1Wx74bcc8ZfiTBo9HGX1dBLXYiqJCij3KGi2Vu	🐤 bird
5Gj1UZCoYxLQL229Tio5eB16pLwegndhpqBE7EBKSX39Zo4m	🐤 bird
5FRxgPUGMUQBYUh2NdGrfHwYjmxRMx8T3vvE6nWijSYKhkSV	🐤 bird
5FNBFqn3ZG5vUjFFFZY8KRzRabDNtgHG79acnkfynKAKtYz4	🐤 bird
5CSQzVPDFaLm9q8qZ7qywMcMjDV6XEV7HQ7BwBCth2ywVHbj	🐷 piglet
5Et8fkUM66EB6gXuiWfBt6t5xJy7En9jCZwbA4hH1e28MRbk	🗡 ares
5C7tXuvkehMUPKvU19b96zSgP2znKbsTC1q1gi6wtXXaM8yB	🗡 ares
5DfAR8yRF2d2QJxQ3moX4c8Coyjna7Sr6xTpCd1uxRbwPTCu	🗡 ares
5FRyAoRXD8rZUG4tnkv2qZdpPLnTtKhH3uYx9Uf7rmiAKeht	🐝 Kstar
5G6QesemNeS5vy7L94XgLwpCcTfVUudkn2N8TciFaZB8jQLd	🐝 Kstar
5DPkLUVp6BRxb4Agt54QfRLEcrYY1QdjobBvjZdDEu9spVUB	🐝 Kstar
5DfdhGp3FvhYSvBHQY9be4SjPW57dCTtPCJssSRiX9AmjuuS	🐝 Kstar
5ESJJSXwyZ6bvSr7UxpvTjiBd2dHXYELg6EfQbPawN6ZUKbK	🎯 sniper
5G4dzSrWjvZq4e2vtCSDwz3S9ozRionF12Jwy5bhhxsqpEmp	🏇 astro
5HmBEdknG6eZ9i9mNt7zhSMM1dL1U88iNza77SDiiej3ezkV	🏇 astro
5CfrMVWDth6boiD8KXUdpKyXoirc94jNAc4QU2tDTxVGpiUv	🏇 astro
5E2AVGgAwzx6MKy1kKrnU1naPbMvQsZTdwqCK6qaMVVq8oTP	🐷 piglet
5FEQkXBAVVFCdDheFXqnifdxmWg7ph5USTeEmDb7KGgqU6gP	🎰 lucky
5FztetqThxkuLg6W6Kq5F4H89jW6rEyCXRLs3zDXXDTV381h	🎰 lucky
5C8Cg3e3PNiyd7sgKBM9dGik27vuV4Hyjipx2CEKn6mFCPHo	🎰 lucky
5CXDwAjJYe5F36ENGX37gRYszoodcRj5gqj6upCN6ADsakK7	🦜 phoenix
5GWrGfS4P3RSh8t3VH8gRDr7p6d6ZVy6trQtTXUcE8EcazQY	🦜 phoenix
5FpNyi8a4gerXEEBrwfgKvM8NBV1FtmV2AcpsQSXQuML7PiP	🦜 phoenix
5FEmG1BEEPcm9bCE8PprWc84p6TfdA48CPvmfKn7KyHf3AFk	🦜 phoenix
5HWNbifjiKNLbgEhnsospvV8PBZkaP2B3qqFipoJNZNeismj	🐷 piglet
5DnnigDjfRExChhd9fzHEFmVe2UfbJg65Qojeyo9SYF4YVJA	🐷 piglet
5EaE5YxYF2iBrQxrMvkj2G1koh7mqn5f6VNRbJsiW6iccndq	🐉 top
5DQ3dHw3NNAYoB8LvsZufx89ZmT7Bas8DVgG1eGPSZqHWnBR	🐉 top
5EHabD8iVz7LH5TfUN32jeHsqCDuTRMMp2GC3qvgE4EsY3tc	🐉 top
5GzZMnxhjTJGUwm72BBAwoNdxvZyzSijjtyV1M75Fkjitb8C	🐉 top
5EcPMYFQFpV6xrxFikdLrSgnyakp5GSQYBmdtqeoQvUozkdU	1️⃣8️⃣0️⃣3️⃣
5HjBTGC9vJw9bFUP9DCNVBLTy4jeG2Y7wUYERxSvppATGt25	1️⃣8️⃣0️⃣3️⃣
5HpDFDxfqp2b9MczXVoN8sWUL9PJZ8Sn2z395zrgjY5rEBYG	1️⃣8️⃣0️⃣3️⃣
5CPUdXwQQ6vAVdyR5Ux8jW44WWue6N56a9moX6Vz5X439M4i	🐝 Kstar
5E9aEBfqjdVv8bubdo3EBquoyjMc62MxdWKqJCF63VZiUUzZ	🐷 piglet
5HT9XE6D5UpEsPHBJMuD33AKKwLkiidFjG78aziSFCq968mk	🐉 top
5DP7Du7uvTK92jcoExRDWj2c2bSAeiDq2gRBu31prot2u9b6	🐤 bird
5GQxq8yQXWeptbuVZm5jQ53t43MJFJKyS3ehfv4iarF9mZRq	🐤 bird
5DUKj3k8g6WyfDJzqGiN4Cyn3wCjm4wChyKxD52E77GzGWYG	🐤 bird
5CJSNS5dMo4U1qB8JELqzZwyb8VdnpnR1nfqaLpMvtn9ZR35	🐤 bird
5He1oFJtQsyMuB69wGoTeMG5t8JuymrdE8ckgLPTg5QKND3R	🐤 bird
5DMDDjfh9Bq5Hf63GWVmQAtgrQUNzd8Tp36hNCuSTgDiVqLf	🗡 ares
5HBM2RZjML2VENLTbfyo7wAojnuUB3UvisGvuE7vS7eN3q3R	🗡 ares
5E9epkXWXiKERtc9qDyLNfBZj5wjzfjWfWRq3Uno9YPh6VWA	🗡 ares
5GzZMnxhjTJGUwm72BBAwoNdxvZyzSijjtyV1M75Fkjitb8C	🐉 top
5DRqmUhEUtPKsiCruFYk54X8y9fVg5rFfz7Haq9wttnTEDMW	🐉 top
5HdPhNAmxDZmSvU5qHsg33ik3uB6JF8LBVWAMdxRe3Rezkxg	🐉 top
5DD2QUo5ZZa9xXExnTrrxm9vrSAqsHceJJkjvAdkNfo1DpG5	🎰 lucky
5DUYi2gJ56YYtJ1Lb5K68Z9Gk6vYf9dtPXc6xHj4rLn19p6c	🎰 lucky
5DoahdPd7QEETqe7xCqNfRAw2mbD8LDMUxkJbyddTRp7bCpo	🎰 lucky
5FyCr5VuBAUWbu81muuiRDZRxGM8fPKc1bqdtBq5JNZ6c4UG	1️⃣8️⃣0️⃣3️⃣
5ETjcxhZMgqrQzzjwVUnf6TeLqgJnwe4PLSYp8icQcNGrK6D	1️⃣8️⃣0️⃣3️⃣
5HBdq88AgBM9VufjuhF3QVVT9V1dGtHmWXmxVAaVwGDQGc5x	1️⃣8️⃣0️⃣3️⃣
5HTA41E9guadgp8AVUE7i3twqRskd3BKi1GES5bdwrHc9Eo4	1️⃣8️⃣0️⃣3️⃣
5CPpHUT91zNXwig7cf4RCW8AmeBHrKv31WvEzqe1wtUok9Eu	1️⃣8️⃣0️⃣3️⃣
5DhXmMTaQeRypP5tViEhYXkvubvHLWBEqrWTVs39rwn5J5hx	🦜 phoenix
5EjXgcSE432XQXCvNcuQzpk64hKU6HYyHNZsJjxDxQj9MUig	🦜 phoenix
5CkGY7n6aUExjXbzg1EDk6nrFZWQ8Bp9GsFkidpGPC4hCrEU	🦜 phoenix
